,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Transcriptomics private topic 6,Transcriptomics private topic 9
0,-2.1669838,-4.0791035,-2.0399187,-3.0403433,-5.268368,-4.2289743,2.2629733,-4.8223834,-3.492338
1,-3.0546906,-4.5772424,-3.445646,-5.5148087,-3.1369646,2.2705724,-0.8373754,-3.523915,-0.37250152
2,-2.6326911,-5.1713285,-3.210158,-3.9317446,-3.793774,-4.1992283,-3.1154554,2.1749864,0.4253477
3,-3.865839,-1.4464517,-0.74828964,-2.5325913,-2.4952197,-2.9801579,-5.483147,2.3714428,-0.4040094
4,-3.2848973,-2.5626266,-2.4038186,-4.2611527,2.6091142,-0.94359046,-1.672005,-4.1228814,-1.1626723
5,-4.9740486,1.9654248,-3.2424204,-1.2769101,-5.3121915,-3.0849156,-4.9136815,-3.5697703,-0.4001274
6,-1.1177796,2.346179,-2.027742,-5.5274014,-4.0719795,-2.921313,-4.6856513,-4.342352,-2.639691
7,-5.4178214,2.6803443,-1.2977757,-4.3154936,-1.4755092,-1.8596606,-4.603941,-1.7256862,-0.5361586
8,-4.813235,-4.198236,-0.51786256,-6.2419972,-4.0608234,-4.874794,2.3765106,-4.449023,-3.814866
9,-0.43444806,-5.078197,-3.331968,-3.580037,-1.1975613,2.2639291,-2.415334,-3.8269672,-0.5248776
10,2.4998934,-3.2332585,-3.4114342,-1.8129491,-4.410089,-5.0417566,-5.244196,-3.942056,-0.6239461
11,-2.714189,2.7836623,-0.10918903,-4.3126507,-5.090357,-0.25855732,-0.9246992,-5.3180757,-1.0649472
12,-0.9752881,-4.427889,-5.3617573,-1.4470236,-2.908241,-4.9832845,-0.9895844,2.1380472,-0.3187477
13,-2.5158792,-2.1593504,2.5310473,-6.0009274,-3.401607,-4.914144,-0.90520245,-2.6868162,-0.54412085
14,-2.524883,-0.67567873,2.4859793,-5.4338937,-4.0596595,-2.098916,-3.3719969,-2.3713493,-0.5645879
15,-5.0559454,-4.381919,-1.8047706,-4.5776258,2.4440544,-2.4812598,-5.621907,-3.5988288,-0.5465679
16,-3.1905832,2.6033533,-0.7527206,-5.0036426,-5.2665386,-4.517083,-3.2824507,-0.36845428,-0.4543639
17,-5.185887,-3.0197368,-5.413218,-3.687013,-5.742651,-1.8874626,-0.7332851,2.5967388,-0.032649577
18,-1.2646854,-1.7647886,-1.2783916,-5.689932,-5.428494,2.591815,-4.3987164,-5.4069095,-3.5303588
19,-2.7402737,-2.5184276,-3.696554,2.5308254,-2.0656443,-2.6305275,-0.6675262,-4.548947,-1.217143
20,-3.2629943,-1.686688,-1.9156625,2.4641294,-5.029742,-0.94122374,-1.4983896,-4.3932514,-4.1077433
21,-3.2971878,-3.8765743,-5.455903,-3.015107,2.3710904,-1.66626,-1.1767685,-2.918338,-0.50089103
22,2.6639621,-4.4014616,-3.424438,-2.363768,-5.8215237,-5.7701693,0.1382199,-2.9447308,-0.6655077
23,-1.5260684,-1.3349183,-0.22165197,-4.7482677,-4.268507,-5.477847,2.4502528,-3.2083526,-0.6494465
24,2.443315,-2.5300162,-1.5440959,-4.8800917,-5.0475717,-3.3342857,-2.3627672,-4.351104,-1.427423
25,-4.537702,-6.085481,-3.561099,-3.396449,2.6047685,-4.0435233,-3.9528465,-4.524513,-0.91967416
26,-4.7690434,-4.8595867,2.7499309,-3.242989,-3.359466,-0.91473055,-1.0923982,-4.812162,-1.0455574
27,-0.70315284,-3.4919276,-5.4539766,-4.8928723,-4.140256,2.678923,-3.0441542,-4.1729507,-0.5627201
28,-3.1239424,-4.245323,-1.8543133,-4.389991,-3.7326715,2.6491015,-1.9057906,-3.5759823,-0.51670253
29,2.5125887,-0.92282414,-0.96137244,-3.9221394,-5.214556,-2.5911684,-4.4742193,-4.6031,-1.7527796
30,-2.851773,-2.5879817,-3.0759363,-3.9904406,-3.974943,2.5287807,-1.8233371,-4.7651124,-2.287344
31,2.3727934,-2.169992,-4.2701244,-2.0547442,-5.2340803,-3.0017114,-3.0870376,-3.652793,-0.69933885
32,-2.394366,-3.2909648,-5.60258,2.456667,-5.7216215,-3.9327757,-0.34889686,-3.616201,-0.5472891
33,2.5583563,-4.3048735,-0.7691006,-4.5439262,-6.344922,-3.6761758,-4.705599,-4.305748,-1.3662374
34,-1.1008275,-1.7610996,2.640469,-1.6351058,-3.737635,-0.16882905,-3.0980334,-3.1226969,-0.6048113
35,-2.6374383,-1.3436112,-3.0188222,-5.1694646,-5.876205,-4.5083604,-3.5849352,2.2950375,0.082052946
36,-1.15803,2.5855467,-0.60614055,-4.5989804,-4.9544425,-5.0167937,-4.9595294,-1.7002157,-0.51251566
37,-3.3825536,-4.1922765,0.17445958,-5.0707755,-5.3722067,2.3513746,-2.235623,-3.3135064,-0.35164854
38,-2.4750667,-2.8239582,-1.9594357,-5.7878394,-4.8564234,-1.1105185,2.4557025,-2.8290265,-0.56284136
39,-4.0175204,2.5647104,-3.9553292,-4.7846475,-5.6043653,-2.390273,-1.1703371,-2.5471487,-0.4578365
