,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Proteomics private topic 5
0,-2.8320918,-4.9256516,-6.8626013,-5.789283,2.4122953,-2.395598,-5.9381084,-1.9343015
1,-1.5065157,-2.2227364,2.1723125,-5.341421,-6.0160627,-1.60656,-6.0091515,-3.8613217
2,-0.72384524,-3.163624,-5.7661715,-5.6002674,-7.0086756,-1.2443225,2.3617702,-1.0679086
3,-4.736636,2.2922785,-6.534396,-5.999566,-6.3828344,-1.1899331,-6.1361065,-5.4773607
4,-1.7024848,-6.5011187,-6.171446,-5.000203,-6.3386993,-4.7835445,-6.6196203,2.2462018
5,-0.3835192,-2.3104463,-5.471911,-3.1566162,-5.9662514,-2.6077669,2.2109416,-1.674089
6,-4.191345,2.3301847,-6.5107493,-4.646031,-6.638066,-2.0130723,-6.511402,-5.227487
7,-1.9878333,-3.9455278,2.1318855,-5.7320423,-6.4773054,-2.0074768,-6.242659,-2.9730058
8,-2.07968,2.2484627,-6.8795624,-2.655628,-6.9415884,-1.2307295,-2.7296205,-3.378417
9,-2.5276785,-2.070572,-4.913974,-5.814815,-6.547466,-0.99081004,2.2562397,-3.1661785
10,-6.723235,-4.051873,-6.102137,-4.14695,2.3974962,-0.7972519,-6.7236595,-1.5407124
11,2.6226084,-5.88305,-5.7833304,-4.616146,-6.497555,-0.7471617,-5.7116966,-3.3966253
12,-4.6229696,-5.134401,-6.1296687,-6.3357215,-6.782555,-1.1177108,-6.5699434,2.2975693
13,-3.203288,-3.6885679,2.1648562,-5.911951,-6.7005353,-1.5254126,-6.4549894,-2.1155758
14,-2.3917503,-3.8852713,-6.1878357,-5.4201574,-6.798805,-0.56873786,-5.8386436,2.2998629
15,-0.5603484,-5.390748,-6.565998,-2.211947,-5.702667,-0.6555442,2.3236864,-2.108872
16,-3.986057,-2.4796429,2.1337554,-3.3454807,-6.4068646,-1.3100424,-5.4448895,-3.8849902
17,-4.094406,-3.3775172,-6.3858876,-5.742128,-6.420743,2.8416042,-7.0229735,-2.210616
18,-2.1821136,-6.14517,2.0761123,-5.3032365,-5.8001633,-0.6113383,-6.427005,-1.4243891
19,2.682273,-2.3169765,-5.3516784,-3.8181052,-6.911663,-1.1515347,-5.1198997,-2.9026172
20,-4.854601,-6.3385735,2.10824,-3.1121304,-6.782176,-1.6905371,-5.6135817,-2.2415564
21,-1.5595126,-2.375504,-5.7508316,-4.001359,-6.4388213,-1.5111973,2.2467344,-2.3316398
22,-1.5603702,-2.3103435,-6.2427244,2.367601,-6.4316754,-3.5275624,-5.13422,-1.9321859
23,-5.777001,-3.417466,-6.289424,-5.4739227,-5.1575036,-1.4960551,-6.444143,2.1871467
24,-1.8589768,-3.8643963,-6.623907,-4.2241974,-6.7965407,-1.2862861,-6.5563493,2.2778852
25,-1.9303814,-4.346303,-5.755746,-3.3961494,-6.9280334,-1.1832321,2.3156106,-5.0373363
26,-2.222124,-5.900494,-5.8611083,-6.0232224,-7.068388,-0.8227856,2.3422832,-1.4336903
27,-5.2666025,-3.7663615,-5.8580775,-4.60973,-6.337915,-1.596176,2.2259154,-2.1375828
28,-1.4955251,-2.0373669,1.989737,-4.2584214,-6.103323,-0.5456394,-6.103363,-1.3951892
29,-1.0375588,-5.0615606,-5.8356285,-5.459531,-6.7881575,2.8303816,-6.474889,-3.6165423
30,-2.8107667,-4.1718664,2.0576534,-6.2259583,-6.508623,-4.9325223,-4.3693366,-1.3269696
31,2.5402348,-5.092206,-5.9110403,-4.465,-5.8212194,-0.92023337,-6.1994534,-5.6988115
32,-3.3096814,-5.4831195,-6.645231,-6.306316,2.3982766,-1.8075994,-6.2508326,-1.8667482
33,-3.5047553,-3.6872165,-6.6852617,-4.2911596,2.444125,-4.3910913,-5.560047,-1.9933035
34,-2.1555617,-4.553747,2.1712568,-2.4382386,-7.2628574,-2.9777799,-2.9579568,-1.8098239
35,-0.62079984,-3.9131367,-5.054494,-6.2215805,-6.972726,-0.94587684,2.2080724,-1.6208094
36,-1.0979047,-1.5251006,2.1891406,-6.05194,-5.9407353,-1.6364839,-5.7376833,-1.4576316
37,-2.6737561,-3.1627266,-6.395064,2.3702524,-5.7760787,-1.7135912,-5.848913,-4.1802998
38,-1.5374794,-4.876639,2.1493185,-3.795059,-6.6861167,-1.0930669,-6.656079,-3.4844275
39,-1.3203118,2.2859535,-6.2233667,-6.217928,-6.919423,-1.5976384,-6.0553923,-4.9396744
40,2.600322,-4.6699276,-5.930698,-4.002179,-6.5055633,-3.4383657,-5.7644033,-1.757462
41,-1.8276502,-4.99364,-5.7696733,-6.128972,-6.2094975,2.7692294,-3.7783663,-1.9401927
42,-5.6958985,2.3168776,-6.3178062,-6.1770916,-6.183121,-2.052574,-5.5502186,-4.419037
43,-3.458353,-4.2952533,-6.3930397,2.4443984,-6.380867,-1.0451874,-3.3136818,-1.8000424
44,-1.1100011,-4.0488634,-5.300885,2.3674648,-6.3604507,-1.0738277,-5.7293787,-5.916051
45,2.6978562,-4.9403996,-5.457347,-5.0266223,-6.273095,-1.2372231,-4.9186993,-1.4289007
46,-3.8583376,-5.69195,-6.0600834,-5.25832,2.4670773,-1.8894284,-6.0141525,-1.8954518
47,-2.0668302,-5.739502,-6.918478,-2.0789404,-6.046689,2.7947946,-4.8861227,-1.9242457
48,-3.5141811,-4.4045,-6.1242895,-5.9393134,-6.344304,2.8421078,-6.1551847,-3.6724522
49,-0.99180514,-4.809044,-6.653041,-4.4513445,-6.232914,-2.5540266,2.2795491,-1.4045817
50,-1.2608162,-5.6968484,-4.5946937,2.3663743,-7.1395435,-2.004159,-5.5024333,-3.2924185
51,-5.4053073,-5.5902042,-6.5716553,-7.010309,-6.7750587,-1.3583436,-5.471886,2.2924588
52,-4.7793145,-5.563885,-4.145126,-5.277458,-6.2902517,-4.7175455,-5.585778,2.3168907
53,-2.0789816,-4.0746083,-6.742335,-5.4221315,2.3977125,-3.9654303,-5.6378617,-1.5915327
54,-1.390342,-4.146525,-6.285217,-5.4486847,-7.0286317,-2.5244393,-5.696935,2.30003
55,-1.0559125,-6.0369253,2.185577,-4.971515,-6.0023355,-1.7315174,-4.787524,-4.410273
56,-4.706771,2.274067,-5.963011,-4.2701836,-6.774811,-1.541296,-6.376505,-5.2429066
57,-6.0983005,-4.835194,-5.7981415,-5.1787376,2.4082973,-2.0183802,-3.9217412,-2.16263
58,-0.89338523,-5.628573,-6.891969,-3.2029052,-6.878839,-4.842124,-6.0855837,2.271469
59,-4.3283525,-5.000659,-6.2439513,-4.8422656,-7.1577396,-0.00034582615,-6.2667475,2.1441307
60,-1.3878255,-4.655083,2.1701503,-4.7073154,-6.835481,-2.117179,-2.428084,-1.9691058
61,-2.679238,-2.209548,-5.752894,2.4456646,-6.423298,-3.2096465,-6.2452755,-1.8749119
62,-1.2966892,-5.209705,-5.5819445,-3.5333047,-6.66104,-2.0041068,-6.6572356,2.1488817
63,-2.3228912,-6.0515127,2.1030812,-3.6277685,-6.6056156,-1.1488314,-5.7389154,-1.3386917
64,-4.0545063,-4.608731,1.9971442,-5.397803,-6.406455,-2.5484667,-6.369315,-1.4880522
65,-1.1490779,-3.527443,-5.895562,2.4194145,-5.857682,-1.0471437,-4.746127,-1.8960992
66,-4.7113028,-2.4366508,-5.6676264,2.4874833,-6.671591,-1.3692427,-5.3637342,-4.060543
