Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Transcriptomics private topic 6,Transcriptomics private topic 9,Proteomics private topic 5
-0.4925857,-0.11356491,-0.33743006,-0.026071563,-0.15492806,-0.3613026,-0.086427964,-0.29770884,-0.18444026,-0.18238522
-0.19032289,0.04389043,-0.28709483,-0.35886002,-0.29789403,0.44700477,0.26032987,-0.21850385,-0.19448885,-0.3533989
-0.029723672,-0.13500378,-0.33138478,-0.021843579,-0.49862105,-0.17535122,0.11955635,-0.22831167,-0.17306161,-0.1405391
0.0034315214,0.84189,0.18210435,-0.39242744,-0.5821401,0.20451981,-0.33131033,-0.25257796,-0.14795534,0.017517913
-0.36119616,0.042614404,0.25556174,-0.14946355,-0.2941153,-0.654591,0.21248558,-0.244543,-0.24530421,-0.3333204
3.6384714,-0.12760416,-0.6147922,-0.4226037,-0.30449018,0.12080088,0.45999634,-0.22857964,-0.25839406,-0.29760772
0.2926463,-0.36492622,-0.24279958,0.27945775,-0.09124465,0.1404753,0.04283741,-0.20629251,-0.21786036,-0.19382872
-0.22132714,-0.4076805,-0.19245557,-0.62541366,3.2817554,0.21687038,-0.3740406,0.11047352,0.32773292,-0.75361466
-0.4900391,-0.2242541,-0.6811693,0.04760364,-0.2180679,-0.35919875,-0.13602874,-0.1679976,-0.124622844,-0.14848188
-0.58656794,0.030876227,-0.5423436,3.4269245,-0.21460587,-0.29375637,-0.07392585,-0.15569414,-0.1445654,-0.11268105
-0.5073812,-0.15349516,-0.3789092,-0.56599456,-0.26804945,-0.48853225,3.5334427,-0.24556676,-0.28784922,-0.31519037
-1.3274772,3.6553838,-0.20522928,-0.326881,-0.4501116,-0.17592809,-0.023825511,-0.2661541,-0.3420426,-0.64538676
2.3787746,0.03378567,-0.19903499,0.16479625,-0.535807,0.46261296,-0.16834722,-0.23073912,-0.27013847,-0.19248274
-0.31914872,-0.4819498,0.025732592,0.090714276,-0.22983405,-0.1664203,3.4534087,-0.23388818,-0.24427623,-0.23961732
0.22160864,-0.19716632,-0.74733347,-0.27114144,-0.39087975,2.4562168,-0.8051955,-0.24917345,-0.32943398,-0.17709392
0.013940752,-0.06298612,-0.5132615,-0.4477822,-0.16254327,-0.19345906,-0.47796232,-0.21581878,-0.20712973,0.14848271
-0.100155964,-0.30223554,-0.38234022,0.0058666915,-0.2798366,-0.50863475,3.669032,-0.24168706,-0.27233416,-0.2798888
-0.70228606,0.04788673,-0.03634675,-0.40941095,-0.2475777,3.4964924,-0.4187863,-0.18831535,-0.2737924,-0.15625261
-0.56648177,3.6366973,0.024468556,-0.3171624,-0.52962905,-0.52810746,-0.5599087,-0.21637738,-0.29106283,-0.1011481
-0.34195334,-0.08970523,-0.32663777,-0.36315858,-0.39971006,-0.115580305,3.5438228,-0.2285781,-0.24415004,-0.24787337
-0.05183246,-0.58579695,-0.09652629,-0.099966586,-0.6204346,-0.6478921,3.4650607,-0.22877236,-0.24589002,-0.22167893
-0.19943053,-0.26836884,-0.37381044,-0.08543398,-0.19950828,3.417459,-0.49830937,-0.2120524,-0.24023044,-0.06928862
0.24021602,-0.33500946,-0.13204482,0.049933344,-0.19662158,-0.5582287,3.672655,-0.21710856,-0.23595941,-0.23372261
0.0116996765,-0.17708793,-0.3187692,-0.22601381,-0.21299466,-0.06489706,-0.2217412,-0.079955414,-0.06280054,-0.08294305
-0.09955185,-0.10091821,-0.17850588,-0.27838305,-0.2203916,-0.069252826,-0.25719267,-0.2669282,-0.215235,-0.1720349
-0.20520411,-0.20819849,-0.33012894,-0.23708773,-0.43862975,-0.11014071,3.3340585,-0.23134741,-0.25219187,-0.16961645
-0.29051584,-0.13290462,-0.11174193,-0.12360793,-0.22147408,2.585863,-0.6013223,0.027601818,0.28217825,-0.33431715
0.43063512,0.13686413,0.41674703,-0.6214136,0.12579179,0.6397862,0.5053899,0.026563486,0.25025123,-0.015664535
-0.6255408,-0.37929028,-0.52659786,-0.056074135,-0.47697276,-0.07226295,0.0787792,5.087875,5.02986,-0.21444592
0.25945905,-0.038795263,-0.28789756,-0.11638494,-0.41681957,-0.124305665,0.12188123,-0.2586136,-0.20135021,4.1888866
-0.24439742,-0.41216308,-0.15805042,-0.14233398,0.114688054,-0.48470446,0.10898809,-0.21964052,-0.17881803,-0.16150789
-0.5245688,0.029986888,0.02928697,-0.3160285,-0.1416348,-0.05187453,-0.50039494,-0.08153329,0.10195734,-0.35538062
-0.08180336,-0.33374062,-0.082414225,-0.19365376,-0.1726409,-0.4070388,0.24147718,-0.21456343,-0.20463783,-0.024395632
-0.2733496,-0.30996546,-0.19723427,3.3112197,-0.21085304,-0.58173376,-0.38451964,-0.18990842,-0.21864764,-0.36397055
0.14436069,-0.017085783,-0.10298639,-0.56885606,-0.18039298,-0.13951668,-0.35238147,-0.20351382,-0.18210183,-0.33540016
2.5599775,-0.17947757,0.06441426,-0.11833684,-0.42892987,-0.19285935,-0.40849233,-0.226353,-0.24846749,-0.32727832
0.1207708,-0.057977393,-0.17866722,-0.29717955,-0.7445193,-0.04025679,-0.1794698,-0.22176878,-0.20897725,-0.19391692
0.07313116,3.8199534,0.009294301,-0.45962632,-0.45177156,0.10231614,-0.057954565,-0.28427702,-0.3757505,-0.22504556
-0.29765993,-0.44988716,-0.34362215,-0.1335507,-0.055303954,-0.31275004,-0.10028972,-0.20575638,-0.14134005,-0.04313791
-0.2450319,-0.61606103,0.009054806,-0.31221354,-0.31882632,-0.4770738,-0.4387719,-0.21839492,-0.19718112,-0.04817749
-0.7752021,-0.41787678,-0.15166482,-0.560215,-0.07724728,-0.23511948,-0.51622045,-0.23195368,-0.22005327,0.011353987
-1.4726673,-0.20605312,-0.28982985,3.4213722,-0.124429874,-0.37838322,-0.40410182,-0.14942642,-0.16738975,-0.3364759
-0.5288839,-0.41900945,-0.5290547,2.4644341,-0.33086455,-0.36806238,-0.79813063,-0.15248682,-0.16925468,-0.2710975
-0.42906722,-0.29074678,0.3535359,-0.3318437,-0.20230885,0.09395575,-0.0045316964,-0.16254944,-0.17195435,-0.33578086
0.24811679,2.5300581,-0.10233824,-0.086989895,-0.39399508,-0.13969538,-0.39113373,-0.28762668,-0.3544593,-0.2815842
-0.44332328,-0.26299435,-0.4182913,-0.111358,-0.22818717,-0.23616627,-0.2852797,-0.19043463,-0.16643152,-0.01408046
-0.78728205,0.3221494,-0.5708331,0.09578796,-0.48700872,0.26353234,-1.0510622,-0.23748046,-0.21010108,4.0532722
-0.009861715,-0.079449005,-0.59776133,0.007351324,-0.45285082,-1.0983016,-0.7026883,-0.19262522,-0.14911851,0.67795473
-0.16484438,-0.8382274,0.11624105,-1.022249,3.3691082,-1.1196692,-1.3624716,-0.26012006,-0.3675422,-0.6621777
-0.3543824,-0.2534267,-0.20040679,-0.8182219,2.8690228,-0.30751377,-0.29148602,-0.20712894,-0.3376476,-0.45435604
3.2619662,-0.17707664,-0.25364655,-0.17334089,-0.27983707,0.020120732,-0.57652557,-0.15333487,-0.18829967,-0.3179763
-0.17468566,-0.18737201,-0.18780686,-0.23510793,-0.3408093,-0.5277465,3.5545835,-0.26031724,-0.19771372,-0.3188627
0.32156113,-0.17946696,-0.22480692,-0.11765065,-0.2729355,-0.12487143,3.3369217,-0.03373378,0.22353134,-0.21566279
-0.5581976,-1.0417593,3.871553,-0.76833194,-0.3388338,-0.22775994,-0.32714334,-0.19026397,-0.27741084,-0.5721455
0.0006002039,0.14090484,-0.30895168,-0.025877217,-0.5403981,0.21202958,0.2057237,-0.15554819,-0.1398,-0.23242934
-0.23911124,-0.064894795,-0.55516076,0.5332887,-0.44055122,0.4722914,-0.19695716,-0.20730378,-0.14891058,-0.3366403
0.10892533,-0.11918461,-0.17785388,-0.30600935,-0.36919805,-0.04059089,-0.30591467,-0.22822934,-0.20042242,-0.2122507
-0.42626297,-0.4529061,-0.40945327,3.764312,-0.25605416,-0.43552083,-0.16548723,-0.17202269,-0.19874711,-0.17992634
3.2011218,0.053560182,-0.19605465,-0.091265105,-0.46232146,0.16058013,-0.11408165,0.0032637368,0.23027885,-0.1571175
-0.36690727,-0.21372986,-0.193325,-0.17672476,-0.22899066,0.50072443,0.023809208,-0.07715492,-0.10629887,-0.17822373
-0.099477135,-0.45384797,-0.32433414,-0.2907581,-0.015520908,-0.28276628,-0.11685822,-0.22144388,-0.22040732,-0.37987247
0.30522072,-0.71221215,-0.46936145,-0.34743315,-0.29771873,-0.15805034,-0.33854166,-0.21068627,-0.215327,-0.07467495
0.55005264,-0.11498278,-0.18268923,-0.7401818,0.08122544,-0.36040878,-0.13581714,5.443531,5.4386644,-0.13782081
-0.27892113,-0.27028313,-0.15652546,-0.16971007,-0.13544174,-0.20822802,-0.6617718,-0.19532718,-0.16916406,-0.15217666
0.2523725,-0.04903038,-0.714286,-0.48289037,0.15611495,0.3205544,-0.18568373,0.10807564,0.10886491,-0.18416677
-1.033344,3.2328343,-0.4544429,-0.5837852,-0.025197545,0.23581114,0.18406653,-0.3043846,-0.3934661,-0.34587502
-1.1924064,-0.21781476,-0.47441572,-0.4931121,3.204825,-0.25614914,-0.6124184,-0.2200091,-0.32377854,-0.70843107
0.18478131,-0.39293337,-0.14520814,-0.40232378,-0.31067783,-0.6699843,-0.3432914,-0.01505369,-0.03155998,0.058247
-0.22026217,-0.5513279,-0.15523003,-0.19302,-0.2844147,-0.42730135,-0.40973705,-0.26945838,-0.29689923,-0.25203398
0.014608413,-0.32650763,-0.3336996,-0.40225363,-0.13239887,-0.3479323,-0.3768517,-0.18736924,-0.18038179,-0.39361915
0.22267096,-0.027883938,-0.28213698,-0.36126205,-0.30509675,-0.66145074,3.004838,-0.45842412,-0.15655424,-0.29498112
-0.45404303,0.0775447,-0.17476022,-0.348199,-0.3665973,-0.061802246,-0.3605109,-0.1171487,-0.089387834,-0.05434434
0.09481317,0.06317398,0.20107684,0.34804976,-0.4237623,0.43152514,0.15042686,0.13760597,0.4427903,-0.1412674
-0.25441772,-0.5612603,-0.7322369,-0.07486679,-0.03760771,0.63372463,0.35333133,-0.23391567,-0.19027795,-0.0064363843
-0.15934059,-0.43943664,-0.106298,-0.3758434,1.6683775,-0.05807084,0.023494184,-0.26990578,-0.3599891,-0.6672916
-0.07651874,-0.38239935,0.8817674,-0.3073448,-0.3567438,-0.22259018,-0.52148443,0.2644152,0.19102614,-0.024762396
0.09452896,3.6473825,-0.21574897,-0.08852129,-0.17177118,-0.54212314,-1.0079374,-0.2929734,-0.39258504,-0.45663175
-0.28023082,-0.20009363,-0.162646,-0.29340503,-0.1834816,-0.031088196,-0.24184954,-0.23152997,-0.22766621,4.1319065
-0.2805291,-0.49378568,-0.2002793,-0.14518866,-0.18526898,-0.6955536,0.17005076,-0.25076902,-0.21802779,3.7721956
3.7325482,0.17103004,-0.025395334,-0.01661396,-0.30131382,-0.17919955,-0.27286053,-0.09781459,-0.10660275,-0.24936827
-0.296735,0.12475897,-0.19816609,-0.29618543,-0.15490605,-0.17851856,-0.079324655,0.122327216,0.42434087,-0.33628312
0.08623581,-0.16547233,0.44834247,0.017348502,-0.27360997,-0.42984745,-0.37265489,-0.24516957,-0.30920267,-0.18055344
0.37037143,-0.2580848,-0.3940993,-0.34383696,-0.43520623,0.035916537,3.930272,-0.241158,-0.27413827,-0.30011326
-0.22117256,-0.4443134,-0.37107122,-0.4706644,-0.12612976,0.008749813,0.061271593,-0.16994177,-0.17804737,-0.118905246
0.0082953125,0.10601245,-0.18530248,-0.28074598,-0.25706804,-0.3167879,0.2375924,-0.19102155,-0.15619992,-0.29754147
0.03102569,3.7912774,-0.1791859,-0.47167644,-0.3529693,0.07236793,0.022295788,-0.29566607,-0.38771963,-0.21649782
-0.3408955,-0.37339276,-0.6007671,-0.47540194,0.08579831,0.03640958,-0.26841104,-0.17060633,-0.20123866,-0.07773592
0.0509571,-0.40620035,0.52648413,-0.7509207,-0.50541276,0.048173152,0.18121427,-0.32307035,-0.24497104,-0.14242715
3.135869,-0.2664814,-0.23913616,-0.22830416,-0.31783688,-0.22743526,-0.07787089,-0.25024572,-0.24741226,-0.18637969
-0.27118018,-0.3182874,-0.16922668,-0.005837254,-0.51138985,0.010629274,-0.07028811,-0.2210197,-0.20870681,4.0448675
-0.28454655,0.26789632,2.5019906,-0.28185108,-0.47331303,-0.20680541,-0.096946195,-0.27626488,-0.36967045,-0.29723465
3.6213164,-0.28365946,-0.23793183,-0.3753695,-0.26285908,-0.47767416,-0.15450494,-0.26418465,-0.272084,-0.31907436
-0.21832395,0.095622696,-0.31083733,-0.32213128,-0.1781036,-0.055848107,0.094387904,-0.22791585,-0.23634043,-0.061047792
-0.73766184,3.238358,-0.21771689,-0.3206285,-0.382549,-0.87544596,-0.44809437,-0.31376833,-0.40273312,-0.36233246
-0.1421363,-0.11808947,-0.23579748,-0.5452579,3.3438354,-0.6649182,0.37204695,-0.19660383,-0.28868628,-0.6867464
-0.72382045,-0.3858589,-0.2146182,-0.31166434,3.2862787,-0.60736996,0.18339133,-0.1537586,-0.2857948,-0.571806
0.09191495,-0.040506583,-0.24742585,0.2515319,-0.4637589,0.8160139,-0.9402865,-0.23358855,-0.26019856,-0.16067359
