,Shared topic 3,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Transcriptomics private topic 8,Transcriptomics private topic 9
0,-2.0192635,-3.862854,-5.9278374,2.4723294,-2.9501972,-2.82861,-4.7478223
1,2.5994241,-3.2511687,-3.384464,-3.0522068,-3.7257144,-4.8966117,-5.156421
2,-3.8818982,2.1157906,-4.547858,-1.2417319,-5.1580377,-4.2038393,-5.1120915
3,-0.9298724,2.1671493,-3.6527133,-5.260392,-3.6890798,-4.936489,-3.9521434
4,-1.1731964,-0.26283035,2.5912433,-0.67043465,-3.2618613,-3.880602,-2.9218428
5,2.6664968,-0.71752715,-5.383742,-0.46890417,-5.482838,-4.7924695,-3.8852072
6,2.8609006,-4.5541544,-0.6192733,-1.9412045,-4.2717614,-5.0503674,-3.4753668
7,2.6203628,-1.8393555,-4.406499,-1.175848,-3.3318412,-4.492095,-4.8523054
8,-1.2924216,-1.3518636,-2.3732662,2.3850982,-0.9604203,-3.6418219,-4.9054794
9,-2.713991,-1.428458,-1.2778525,-5.660026,2.2719042,-3.315414,-3.5932877
10,-5.0759783,-4.2228146,-3.1316223,-4.4752865,-2.8535829,2.8841121,-1.4987793
11,2.7595043,-3.1291926,-4.923004,-0.4937956,-1.2129227,-4.023112,-4.802255
12,-2.8504884,2.1638498,-3.6534228,-2.8486657,-1.0591617,-4.199399,-3.9657044
13,-3.5749002,-0.59493715,-4.393464,2.10232,-4.6061215,-4.7007437,-4.249489
14,-1.2463503,-3.4505303,-2.0028193,2.2427852,-2.335661,-4.846966,-4.0538163
15,-4.015416,-1.1267998,2.4700675,-3.1523812,-3.1205218,-3.5792892,-4.5030217
16,2.763791,-0.1549679,-4.8130984,-0.9723329,-0.75907147,-5.1220913,-4.371773
17,-5.4004984,1.9973221,-2.5566504,-3.6254258,-0.75112605,-4.941139,-5.022973
18,-4.8273787,-0.7264332,-2.465828,-1.8670796,2.6894405,-4.1249857,-3.5375626
19,-3.0211833,2.318813,-3.103988,-2.7374825,-1.5849968,-1.9556476,-3.2671068
20,-1.6827561,-6.1169043,-1.4892194,-1.430671,-0.44393307,-3.189115,2.7445033
21,-3.053787,-5.0759063,2.324257,-3.6972494,-2.1193101,-4.1744843,-4.8546705
22,-5.6585827,-2.1894894,-2.6441154,-5.2410107,-4.22013,2.8789825,-1.3902919
23,-3.1850727,-4.1111927,-3.4584715,-2.5831633,-5.1267095,2.883393,-4.215276
24,-3.252086,-3.5706666,-2.372476,-2.8258555,-4.991052,3.0721736,-4.452774
25,-4.042017,-1.8172195,2.693229,-0.48770553,-0.08133918,-5.734775,-4.998811
