,Shared topic 3,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Proteomics private topic 4,Proteomics private topic 6,Proteomics private topic 7,Proteomics private topic 8
0,-5.9745493,-6.4046288,-6.2987213,-6.2442074,-6.103959,2.137952,2.0325625,2.1045768,-3.6771476
1,-4.21033,-2.2454195,-5.235503,1.9045691,-5.698773,-1.5427303,-2.0505793,-1.8170943,-1.0828019
2,-4.9923105,-2.6914997,-5.4627895,-5.8763704,2.1788938,-2.4331107,-1.3948343,-1.1915057,-2.224091
3,2.4335787,-3.347129,-5.745371,-6.211814,-2.6093678,-3.964855,-4.4695225,-5.132075,-4.278926
4,-4.050251,-1.4393916,2.1924722,-5.4301214,-4.825699,-1.2580881,-2.5092185,-2.3570824,-2.2061505
5,-1.6883962,-2.3403587,-3.3063836,-6.071637,2.2174776,-1.817257,-0.93203914,-1.0607547,-2.0950906
6,2.4560359,-4.2489843,-2.7849538,-6.0270014,-5.816295,-2.9444182,-3.0253685,-2.7122328,-0.8626771
7,-2.8787186,1.7936542,-5.2864194,-6.1907296,-5.6329203,-2.9031606,-1.6359333,-1.9722939,-0.5719756
8,2.5065196,-6.1905026,-6.586831,-6.684119,-3.73956,-3.2986333,-2.8520067,-2.7200449,-4.031638
9,-3.6784148,-2.4679112,-6.0153193,-6.753868,2.203896,-3.9697278,-3.2083879,-3.1396878,-3.0833893
10,-4.9987764,-4.727071,-6.4458895,-6.5440807,-6.297741,2.0650823,2.0575695,2.118796,-5.048584
11,-5.288989,-1.4869481,-5.2968183,-6.2082934,-1.8795186,-1.3420933,-1.5029098,-1.3695009,2.5759928
12,-4.055505,-3.72637,2.2603838,-6.035195,-2.153931,-1.2256315,-1.7375295,-1.6284169,-2.6680963
13,-2.9167862,-1.8902518,-3.5745087,1.8232119,-2.9067965,-1.2295146,-1.5537026,-1.6265855,-2.7637594
14,-2.0238204,-2.9677372,2.1691878,-6.707473,-3.0935585,-1.4191611,-1.3183607,-1.4489069,-2.5929341
15,-0.96910757,-6.396271,-4.4453,1.8290138,-4.279143,-3.383513,-3.7588553,-3.6524346,-2.4696188
16,-3.3386896,-2.5930963,-5.4463353,1.7793157,-4.1996408,-1.912521,-2.160041,-2.2413063,-0.6245921
17,-2.9405234,-1.6495687,-4.6876163,-6.95782,-4.2803965,-1.1774178,-1.4551024,-1.274073,2.52662
18,-3.7919195,-4.8294806,-2.4935114,1.8720129,-5.5613294,-1.8869572,-1.7266191,-1.7221559,-2.1218286
19,-3.4397702,-1.8583723,-5.4483833,-6.4257426,2.2256596,-2.7836206,-2.2531176,-1.6969093,-2.9488654
20,-2.6748352,1.8029363,-1.8155198,-6.5235424,-2.424986,-2.614818,-2.7579386,-2.6378956,-1.7728425
21,-5.1288753,-2.1950998,-3.5535882,1.7961066,-5.2546673,-2.0251532,-1.8013486,-2.0268512,-2.288146
22,-1.7469678,1.7778668,-1.4048184,-6.3865876,-2.1380172,-0.99118435,-1.2559873,-0.73281276,-3.3980854
23,-4.7403936,-2.667226,2.1498308,-5.75939,-5.846939,-2.7698493,-3.051467,-2.9513278,-4.697731
24,-2.7541864,-5.8966894,2.1872,-5.867377,-3.6043453,-1.3978076,-1.7844398,-1.0546207,-4.030588
25,-5.7089853,-3.7682989,-6.0138416,-6.601081,2.2415323,-1.8742359,-2.061372,-2.0003037,-3.4274633
26,-0.9627781,-2.3459547,-3.566332,1.7306724,-5.2124624,-2.1899695,-1.4818448,-2.1037526,-4.759406
27,-2.3706174,-1.6674727,-5.542869,1.8776317,-5.836261,-1.8512454,-1.8352575,-1.9304049,-1.837152
28,-1.1738931,-2.7341857,-4.8946366,1.7359488,-3.7148385,-2.3070343,-1.2588847,-1.4225583,-4.733137
29,2.4696105,-4.5482483,-6.2901587,-6.798425,-4.7732363,-3.6521688,-2.5112653,-2.2651358,-4.6317034
30,-4.862971,-2.972533,-3.2824323,1.8149636,-3.5721235,-3.0886383,-2.2415123,-2.6311543,-3.3250945
31,-3.3702464,-3.9208472,-5.7852798,-6.366582,-5.541825,-1.3993492,-1.6675469,-1.5615225,2.5423849
32,-5.7640224,-3.412492,-6.281568,-6.783076,-5.7290773,2.1738892,2.0746207,2.1135664,-4.738663
33,-3.993176,-6.092845,-6.1070843,-6.0377064,-4.017529,2.0174398,1.9842343,2.0300267,-5.4442463
34,-1.9512008,-4.8460445,-5.2099376,1.8604279,-4.691404,-2.2070394,-1.5759689,-2.0966706,-2.2500372
35,-0.98918796,-3.7479162,-5.889545,-4.212152,2.2547276,-1.3411002,-1.5036935,-1.712321,-2.1466475
36,-3.6070635,1.8258045,-5.530172,-5.6473756,-5.4852366,-1.1720479,-2.091327,-1.6021941,-5.0515504
37,-4.4829626,1.847913,-3.4573548,-5.525292,-1.6816019,-1.4904547,-0.83063465,-1.1431196,-0.37214792
38,-2.0681517,-3.5145147,-6.164443,1.7774706,-3.1026816,-1.9954501,-1.8016759,-1.3503327,-4.7819233
39,2.4624903,-3.1108932,-6.432047,-6.0910807,-5.7260895,-3.8111897,-4.0981307,-4.465315,-2.7410734
40,-4.3691096,-5.6531744,-5.1489077,-7.2435017,-2.0024567,-2.7088218,-2.4634502,-2.331257,2.5154543
41,-2.1039588,-2.1881533,-5.883073,-5.7223043,-3.2995718,-3.1101842,-1.7377528,-1.4957935,2.5861833
42,-5.6695004,-6.1959286,-5.7844114,-6.560465,-5.3939905,2.117059,2.0905712,2.1364083,-4.9521885
43,-2.471582,1.7967064,-3.892944,-3.6173053,-1.8430868,-0.7526314,-0.7173464,-0.7056635,-2.8193936
44,-4.4564543,1.8550377,-5.4113283,-5.7330084,-4.2469635,-1.4355929,-1.8790456,-1.4717315,-3.8774831
45,-4.5689154,-5.238694,-4.7495756,-7.459442,-5.9824324,-1.5448632,-1.6453785,-1.3863401,2.478446
46,-5.452478,-5.5448046,-6.2433314,-6.823665,-6.3955593,2.0818083,2.0433967,2.1070235,-5.7412844
47,2.3684728,-2.4146857,-5.84725,-6.473109,-4.3247895,-4.4105854,-4.2960362,-4.0430365,-2.209507
