Shared topic 3,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Transcriptomics private topic 8,Transcriptomics private topic 9,Proteomics private topic 4,Proteomics private topic 6,Proteomics private topic 7,Proteomics private topic 8
0.110151984,-0.17071694,-0.34800467,-0.10887831,-0.18512887,-0.39925852,-0.13005124,-0.21873204,-0.1640905,-0.2711952,0.2200461
-0.12219859,-0.2154721,-0.16315635,-0.16320565,-0.4045233,-0.041838393,-0.15995085,-0.008334618,-0.00089227833,0.051304277,-0.08102279
-0.24546638,-0.05193273,-0.12046654,-0.42049658,-0.36637378,-0.0042535476,-0.29588333,-0.06334968,-0.43668,-0.2561919,-0.70444566
0.57139945,-0.14123169,-0.09252551,0.34852314,-0.03731881,-1.8348243,0.42298287,-0.015713695,-0.056729674,-0.1160085,0.026734794
-0.3286893,0.16523826,-0.50567496,-0.08703123,-0.67804503,-0.49920315,-0.23358397,0.20585309,-0.3771656,-0.16731718,-0.34786552
-0.4010218,0.021806642,-0.118953004,0.13645521,2.879899,-0.3822037,-0.33647862,-0.40629214,-0.5006686,-0.51594067,-0.21930884
-0.46245632,0.19734061,-0.25978458,-0.53263867,-0.097410716,-0.052353352,-0.32568607,-0.16766931,-0.2573028,-0.21203527,-0.25167722
-0.5614535,0.11953738,-0.44061065,-0.48605874,-1.1532474,0.04989417,-0.621848,3.180479,2.929569,3.043911,-0.43736503
0.10644211,-0.05385103,0.120435655,-0.21609564,0.22758698,-0.29541713,-0.258469,0.109878354,-0.460959,-0.26211402,-0.47679123
-0.5557738,-0.16232212,-0.38330644,-0.6601748,-0.4806903,-0.4462057,3.5217385,-0.25628936,-0.44111165,-0.4886362,-0.18626945
-0.47406536,-1.228579,-0.7437649,-0.7108013,-0.76099175,3.633492,-0.50224084,-0.41882655,-0.21136153,-0.32180437,-0.46446106
3.1790826,-1.1527312,-0.45934302,-0.31390804,-0.29526433,-0.05730575,-0.35596588,-0.30381218,-0.34666255,-0.29170826,-0.42669997
0.3855487,0.0756506,-0.44048923,-0.34669402,3.1007833,0.8571773,-0.26082245,-0.7273604,-0.5957276,-0.64282286,-0.6350187
-0.20523126,-0.24260284,-0.14112829,-0.2627462,-0.2138134,3.6325064,-0.50218403,-0.43106946,-0.53979254,-0.6206339,-0.15126845
-0.6792557,-0.37856677,-0.3186324,-0.43539003,-0.107094236,1.2195013,-0.19489022,-0.642818,-0.34586778,-0.2992417,4.0144224
-0.62643933,0.32143664,-0.49334505,-0.08743757,-0.0643606,0.66566175,-0.30241862,-0.75500226,-0.28492373,-0.5412182,-0.017676016
-0.0037364438,0.19968693,-0.21312551,-0.24072814,-0.122912444,3.5709925,-0.45389253,-0.17505611,-0.28060943,-0.3396229,0.03594613
-0.4143526,0.30346805,-0.38886797,-0.0021594688,-0.42319795,-0.29142025,-0.37897328,-0.5383714,-0.27303472,-0.25106537,3.8732624
3.2036777,-0.24237096,-0.20265104,-0.18271033,-0.22671607,-0.16137257,-0.32237786,-0.34924957,-0.16621466,-0.25204298,-0.17589682
-0.8767209,-0.73451865,-0.8211029,-0.8003925,-0.9862647,3.651716,-0.5630257,-0.17199084,-0.3686126,-0.34360492,-0.052892193
0.19738597,0.072108604,-0.2912052,-0.22926666,-0.29932743,3.6314714,-0.50203234,-0.39034092,-0.5154838,-0.5831866,-0.21670462
-0.07812293,0.02468934,-0.37430003,-0.27305526,-0.037373878,-0.3002764,-0.39155954,-0.4843974,-0.22371866,-0.16728759,3.9969914
-0.10912988,-0.22560297,-0.4554176,-0.10668231,-0.22693866,3.1142545,-0.52458954,-0.25624135,-0.3254542,-0.41060564,0.14354227
-0.24775007,-0.42661443,-0.23427755,-0.11475356,-0.4429797,-0.2959357,-0.28369308,-0.2874786,-0.27934948,-0.37580267,0.15891135
-0.70397264,0.084037565,0.19836724,-0.2731719,-0.09517461,0.061565515,-0.352013,-0.18175405,-0.3478077,-0.3554503,-0.100935034
-0.5560808,-1.3690646,-0.68387693,-1.2410593,-0.40987578,3.6515632,-0.562975,-0.23190944,-0.33121824,-0.3820299,0.11273759
-0.7897093,-0.23707867,-0.5884801,-0.21029483,-1.1966438,0.5374321,-0.5583254,-0.4677393,-0.27486482,-0.17378761,3.8317213
-0.1767,0.17455393,-0.12662162,-0.21669954,-0.03612018,-1.792652,0.27362552,-0.074571475,-0.069434,-0.11111944,-0.11540369
-0.5964246,4.6799335,-0.010385323,-0.25967047,-0.045535147,-0.4999079,-0.332828,-0.89098674,-0.43717542,-0.4584145,-0.224495
-0.59906995,-0.07715118,3.57277,-0.01737243,-0.1227431,-0.19831674,-0.3802196,-0.6061074,-0.5518234,-0.5534712,-0.39665347
-0.3690565,-0.011381671,-0.095383555,-0.3431931,-0.4413439,-0.26472843,-0.14994885,-0.26553258,-0.2303582,-0.33266965,0.001512486
0.051522397,-0.22643498,-0.3217451,0.23419026,-0.008837551,-1.9306625,0.40489325,-0.27851644,-0.3893613,-0.33415177,-0.14045474
-0.6187495,0.21418259,0.1702409,-0.476318,-0.36261177,-0.20911054,-0.17319305,-0.054855105,-0.047922667,-0.0981655,-0.1722637
-0.35744873,-0.33107516,-0.30913827,-0.46295902,-0.12747645,-0.44637015,3.5414171,-0.25556383,-0.23598516,-0.24636975,-0.3424042
0.0060805455,-0.12928842,0.0047420114,-0.1751075,-0.23670605,-0.38293698,-0.24342445,0.02224146,-0.54826456,-0.31753203,-0.6125309
-0.34725237,0.33562446,-0.43012285,0.12932357,3.3994114,-0.33355415,-0.2817583,-1.0523468,-0.7737194,-0.5152787,-0.97615916
-0.51074994,-0.05411613,0.32875422,-0.27008706,-0.34457725,-0.30927548,-0.20578073,-0.13466132,-0.3065847,-0.31748784,-0.06315766
3.9503703,0.082509376,-0.72775006,-0.2945669,-1.0246904,-0.032843847,-0.2574279,-0.6023523,-0.18010265,-0.3387874,-0.32517633
0.3131734,-0.36739355,-0.19996855,-0.25308007,-0.17110497,0.12744816,-0.49511093,-0.27567852,-0.20852438,-0.3030792,-0.3217288
-0.2717811,-0.30770457,-0.26038533,-0.2449524,0.023341447,-0.6174046,-0.39082056,-0.2398741,-0.17261241,-0.28418887,-0.17405583
-0.090250455,-0.15760297,0.15434226,-0.22731619,0.37360498,-0.26893273,-0.31660983,-0.6279681,-0.31766954,-0.52339137,-0.063879915
-0.25347793,-0.5635634,-0.29424322,-0.4800959,-0.112720385,-0.33507267,3.589753,-0.40215844,-0.38976857,-0.4396946,-0.2956727
-0.66709924,-0.9294853,-0.09986032,-0.3485514,-0.35257307,-0.6099875,4.1025004,-0.04709075,-0.5358433,-0.36040393,-0.47795737
-0.27551907,0.27958316,0.037662998,-0.15872398,0.16741407,-0.10105824,-0.32518637,0.13256007,-0.37153465,-0.19786297,-0.5663658
2.6403646,-0.44028184,-0.048529714,-0.29480535,-0.3841138,-1.8568552,0.23288259,-0.54551363,-0.27797312,-0.39396852,-0.21123075
-0.23410025,0.31129783,-0.34619278,-0.24690777,-0.35737032,-0.16644852,-0.255226,-0.31206974,-0.4571213,-0.5043261,0.16000608
-0.053927124,0.018664356,3.93112,-0.024099797,0.9586983,-0.26491663,-0.32381517,-0.5011058,-0.41309226,-0.45429635,-0.42563972
-0.4073072,1.0303246,-0.015956987,-0.23989023,0.0040748045,-0.07960101,-0.27748084,-0.6603786,-0.39888182,-0.4577475,-0.1887912
0.22056486,-0.39472848,-0.9602064,-0.20062059,-0.2021561,-0.18689305,-0.37787616,2.856958,3.130122,3.076124,-0.6134919
-0.8172642,-0.5096695,-0.43997085,-0.20537646,-0.32737842,-0.012535495,-0.33751476,2.2716413,0.674152,1.2229588,-0.63362503
-0.2032848,-0.63669014,-0.7758889,0.4157917,3.5332367,-0.15138099,-0.25990567,-0.5045887,-0.41381148,-0.472113,-0.38664174
-0.27159917,0.0003985539,-0.4409259,0.0051660836,-0.7165209,3.5864491,-0.54708683,-0.18239309,-0.23387554,-0.26504722,0.28432992
-0.43194938,0.12928067,-0.3885848,-0.20687473,-0.08543092,0.8181515,-0.49987128,-0.28278923,-0.260561,-0.34014016,-0.45522285
-0.069009796,0.57011956,0.114384204,4.2760544,0.33511373,-0.32999343,-0.21609683,-0.67073464,-0.61463255,-0.58160204,-0.11098803
-0.17545572,-0.17549826,-0.3329772,-0.14107814,-0.048699066,-0.22951981,-0.24831155,-0.8323784,-0.38584524,-0.327002,-0.7491886
0.08408987,-0.09233321,-0.19455627,-0.06737258,-0.11181404,-0.13339941,-0.31002584,-0.41502976,-0.70128113,-0.38078696,-1.0675861
-0.42690307,-0.32009885,-0.05446595,-0.4261486,-0.24096352,-0.23431867,-0.5051378,-0.10333886,-0.33480403,-0.30607173,-0.2305554
-0.36924,-0.5641308,-0.29213747,-0.22450835,-0.33165717,-0.41403052,3.793281,-0.3680058,-0.44435054,-0.46729642,-0.34081787
-0.094307065,0.088753864,0.20729324,-0.3273872,3.3051438,0.28260443,-0.5736389,-0.7077322,-0.54049414,-0.64962167,-0.6139679
0.3329878,-0.0009046048,-0.41475543,-0.15584224,-0.4897315,-0.20198336,-0.32655686,-0.069019884,-0.12494198,-0.10877166,0.8593573
-0.2575227,-0.075840935,-0.31674308,-0.2173799,0.8492811,-0.28556177,-0.21461694,-0.24111772,-0.19954239,-0.27680036,-0.16683999
-0.069666535,-0.27641827,0.54949147,-0.19886824,-0.7072966,-0.1498983,-0.20802943,-0.092362024,-0.32107708,-0.25577247,-0.18695953
-0.17533062,3.2731323,-0.0576084,-0.54724896,-0.29948014,-0.10982959,-0.26163015,-0.36203164,-0.23847899,-0.32830387,-0.38376093
-0.50370145,-0.194401,-0.18982176,-0.2804045,-0.41896433,-0.39262286,-0.16112518,-0.22302215,-0.170931,-0.2820428,0.11427668
-0.06597401,-0.21281889,-0.18971956,-0.16031449,-0.31013387,0.03638937,-0.24428251,-0.033597335,-0.49597123,-0.33782983,-0.43862778
3.2625842,0.07025644,-0.58751523,0.034994915,-0.3486626,-0.07904867,-0.2846633,-0.39547944,-0.30095455,-0.35071704,-0.19836652
-0.3703897,-0.15934753,-0.33252192,-0.28589013,-0.6953299,-0.06127353,-0.3782998,3.0790067,3.1806605,3.1506586,-0.4927385
0.2037175,-0.3103872,-0.27660006,-0.28356078,0.06327015,-0.3647963,-0.31532076,-0.24493831,-0.20972261,-0.337528,-0.15392509
1.1327757,0.52943456,-0.17455612,0.0121170655,-0.30647033,-0.117776975,-0.33108553,-0.10118104,-0.1645446,-0.19188252,-0.34703517
-0.34334376,-0.27522758,-0.30313843,-0.17523968,0.16417736,-0.26128167,-0.29936525,-0.035364695,-0.21641558,-0.19966134,-0.46328676
-0.23732603,-0.36988848,-0.39073122,-0.30003527,-0.26527423,1.482216,-0.09522269,-0.35051873,-0.31938553,-0.37948784,-0.33064893
-0.00832805,-0.16610116,0.66564673,-0.31083515,-0.36790836,-0.11702209,-0.4769434,-0.3166457,-0.37708953,-0.40625116,0.03691687
-0.455326,0.5935778,-0.38225898,-0.055265207,-0.12998249,-0.0064980113,-0.09185695,-0.50153667,-0.55771846,-0.27032438,-0.7331829
-0.282242,-0.53957486,0.23647483,-0.53486586,0.3805293,-0.18856505,-0.18993719,-0.17409343,-0.14602493,-0.23141287,-0.15294221
-0.13412604,0.29629093,-1.0295103,-0.018089153,0.19494,-0.11995864,-0.28858575,2.8319006,2.9336402,2.9001644,-0.47866252
-0.5670686,-0.2181795,-0.16509762,-0.37767714,-0.60511744,0.049902573,-0.28789082,-0.15883803,-0.34462792,-0.33519933,-0.16110931
1.5544685,-0.3477582,-0.1895482,-0.22481234,-0.386697,-0.060410384,-0.26027068,-0.51878643,-0.27016395,-0.3723376,-0.27937025
-0.46829128,-0.42682573,3.3234603,-0.20657074,-0.49209946,-0.15406309,-0.40288898,-0.57767236,-0.4881163,-0.51001984,-0.36384344
-0.5681317,-0.41697213,3.7870092,-0.4354637,-0.14602298,-0.16797929,-0.29271257,-0.63635576,-0.4538282,-0.5086201,-0.49000642
-0.11227287,-0.8812711,-0.62082577,0.14684802,3.762548,-0.20606555,-0.2156933,-0.5215449,-0.39508173,-0.40858817,-0.48676315
0.15139204,0.7117028,-0.3262632,0.33552468,0.015007675,0.5834105,-0.58944565,-0.23903087,-0.2677305,-0.32251373,-0.11321157
-0.31887865,0.3303038,-0.2925679,0.0723664,-0.48321828,-0.23928037,-0.2714049,-0.18650225,-0.58119446,-0.37516752,-0.31515402
-0.27011085,-0.14710642,-0.4109129,-0.20196566,-0.18891793,3.5607204,-0.5117769,-0.28846475,-0.35586175,-0.4453646,-0.11878967
-0.106867336,-0.10215847,-0.3122943,0.12104893,-0.24252382,0.0047578993,-0.22185358,-0.26680923,-0.51479685,-0.52795494,0.012303393
