,Shared topic 2,Shared topic 3,Shared topic 6,Shared topic 7,Shared topic 10,Transcriptomics private topic 3,Transcriptomics private topic 6,Transcriptomics private topic 8,Transcriptomics private topic 9,Transcriptomics private topic 10
0,-4.2652307,-3.615081,-3.2715988,-3.506216,-3.9085279,-3.996472,-4.1440773,-0.4873311,-3.6340518,2.5262866
1,-5.060602,1.8886604,-2.83001,2.1484046,-3.495762,-3.2390687,-3.9434733,-0.72021157,-3.5039072,-4.820501
2,-4.383286,-0.68319595,-2.5009913,-3.1166577,-2.6900861,-4.3614492,2.270565,-0.520897,-4.265295,-3.379323
3,-4.892797,-3.465916,-0.9811169,-2.0405746,-1.7620924,-4.39289,2.6274273,-0.62002486,-3.7707853,-4.4313564
4,-4.1132374,-3.573494,1.9330091,-2.8550496,2.1057858,-4.565106,-4.115453,-0.5557424,-3.9909189,-4.120823
5,-4.896543,2.0568275,-1.2594568,2.446153,-3.2862425,-3.221923,-3.4810147,-0.7793089,-3.5818584,-3.248722
6,-4.063016,1.8826103,-2.19351,2.4052925,-3.165689,-4.261,-4.075547,-0.65159094,-3.564997,-4.67454
7,-3.8430545,1.7780175,-4.1589155,1.8674507,-4.510297,-4.395018,-4.3866925,-0.5170278,-4.3134155,-4.2839103
8,-4.7456017,-3.224297,-2.0130515,-2.4159195,-3.517954,-2.6817582,-2.7098174,-0.6504456,-2.8577862,2.7558606
9,2.1631966,-0.56454,-3.3770633,-2.6843946,-2.7063947,-3.4573,-3.2925375,-0.44116503,-3.4239445,-3.8651233
10,2.5087867,-0.72930145,-2.3896296,-2.123699,-3.277516,-3.6276011,-3.4501936,-0.587956,-3.7186646,-4.1057816
11,-4.82776,1.8734298,-0.9737096,2.0053506,-1.921112,-3.914174,-3.886474,-0.5858994,-4.3765783,-3.4537616
12,-3.7028792,-4.045171,-1.2916609,-3.9267774,-3.2030656,-3.8633857,2.397843,-0.5062663,-3.5514216,-3.7479405
13,-3.588476,-1.0985512,-2.9003885,-3.53814,-2.7014005,2.562212,-3.3471704,-0.57047075,2.3445158,-3.397906
14,-4.175643,-2.8104293,-0.8417258,-2.270667,-2.642852,-4.0196476,-3.6594071,-1.3169048,-3.5170352,2.3583457
15,-4.398367,-4.5914164,1.9101181,-4.0007505,1.7034028,-4.032135,-3.880437,-0.564082,-3.6304712,-4.0305605
16,-5.254168,-0.8221545,2.050413,-3.6663501,2.212477,-4.089596,-4.021997,-0.9093303,-4.0626945,-4.58783
