,Shared topic 2,Shared topic 3,Shared topic 6,Shared topic 7,Shared topic 10,Proteomics private topic 2,Proteomics private topic 4,Proteomics private topic 5,Proteomics private topic 6,Proteomics private topic 7,Proteomics private topic 8
0,-4.521739,-3.2296736,-2.0055008,-3.9716794,-1.2952675,-1.2517843,-1.7887088,1.716764,-1.944363,-2.2572625,-2.4505954
1,-3.0548978,1.698081,-2.1630359,1.6006246,-1.8631517,-1.4593987,-2.7409449,-5.322381,-2.4785252,-2.6183524,-1.3087306
2,-4.9798355,-5.9348397,1.9935081,-4.1986637,2.1415064,-1.5745692,-1.9691998,-4.8066006,-2.4784346,-1.607904,-2.0025582
3,-6.293843,-4.707477,-2.9458196,-5.4651294,-2.5517972,1.9436266,-3.3369484,-5.7712173,-3.7058039,-3.7827804,2.119837
4,-5.8112073,-3.5772998,-3.681032,-2.524711,-1.1035461,-1.7585018,-1.8702587,1.9670088,-2.4515915,-2.0889626,-1.1146039
5,-5.7954817,1.7068739,-0.9663731,1.6453433,-3.5889442,-1.1752014,-0.61187613,-3.3234668,-0.5444354,-0.741711,-0.99682
6,-6.6051445,-5.0830965,-1.8807391,-5.733493,-3.0241659,1.9809,-2.8378496,-5.417185,-3.3476784,-2.7405345,2.2136736
7,2.001626,-4.637589,-2.3426418,-3.3962011,-1.9106644,-0.64324534,-1.1565871,-2.4597301,-1.3850993,-1.53458,-0.6412722
8,-6.658751,-5.342296,-3.1022625,-5.216933,-3.3632975,1.8405006,-4.360638,-5.821499,-4.1253276,-4.1851673,2.1099823
9,-5.7022386,-5.598843,1.9438748,-3.6387873,2.0817616,-1.180479,-1.0526853,-5.686594,-1.6021802,-0.89332676,-1.8463002
10,-6.030774,-5.869275,-4.9293737,-6.475571,-3.6056833,-2.5270374,1.9440262,-5.9626446,1.7933404,1.8259857,-2.6070304
11,-5.89576,-2.445913,1.8139358,-4.2808466,2.006826,-1.0199094,-2.2617261,-4.7635713,-2.4238908,-2.681538,-1.2393548
12,-5.3540306,-2.1221743,-1.3216822,-6.056267,-4.1556273,-1.6010412,-2.4862838,1.9783664,-2.739099,-2.8246877,-2.4406276
13,-5.060772,1.6351507,-1.8016342,1.705436,-3.015515,-1.6635412,-1.583169,-4.6332808,-1.6782212,-1.9045289,-1.8600526
14,-2.7842171,-1.941362,-0.81236684,-4.5672274,-2.911898,-0.7733204,-1.0225155,2.062697,-1.294802,-1.4951186,-1.1717843
15,-5.739772,1.6778805,-1.6117339,1.5903618,-2.6298938,-0.9611993,-0.6882271,-1.826333,-0.6492773,-0.7926852,-2.2370753
16,-6.146322,1.5110116,-1.8698256,1.4150712,-2.3218656,-0.6687054,-2.4470954,-2.213685,-2.8228447,-2.6656659,-0.6160493
17,-5.9901695,-5.128926,-2.5661669,-5.856295,-3.6172745,1.8950064,-3.3409722,-6.0894275,-3.6905572,-3.4506361,2.1977906
18,-4.093959,1.7107003,-1.3799075,1.6368041,-0.64025664,-2.531824,-1.7278193,-5.6397343,-1.9098079,-1.8094571,-3.054084
19,-4.5157547,-4.965376,1.9783533,-3.7046525,2.0460207,-1.0372694,-0.9883395,-4.210786,-1.2237387,-0.8684226,-1.4570789
20,1.9041476,-2.4693637,-1.5250891,-4.533925,-2.4542599,-0.8050203,-1.183043,-4.5951586,-1.2521586,-0.77111,-1.3399138
21,-3.977335,1.4145533,-2.4076161,1.4466578,-1.9817573,-1.2550375,-2.1002498,-2.9440718,-2.104497,-2.193591,-1.7686837
22,1.98312,-4.416788,-4.3563375,-5.8612914,-1.5201148,-0.8085533,-1.3247902,-3.0038338,-1.1947163,-1.2385828,-1.1895602
23,-4.481985,-3.8693633,-2.0004132,-5.960199,-2.1874547,-1.9365224,-2.2073236,1.9265075,-1.9601344,-2.8124278,-2.6019247
24,-5.969155,-2.0186827,-1.5771353,-1.743277,-2.2979555,-2.0557797,-1.5797977,1.9186795,-1.5512168,-1.3942329,-2.7436326
25,-5.982782,-6.282478,1.8119206,-4.586427,1.9607112,-1.2169874,-1.6140076,-5.621637,-1.7629403,-1.6990986,-1.6438885
26,-6.2158046,1.4689732,-5.144301,1.3288043,-1.6311252,-1.027731,-1.1684737,-4.3384075,-1.1156158,-1.1230068,-1.5196857
27,-5.3202596,1.7012641,-0.95604944,1.6566365,-1.0204313,-1.119208,-1.8455817,-5.6606493,-1.7942934,-2.191741,-1.3067764
28,-3.5404925,1.7212541,-1.0065992,1.6698294,-3.0969887,-0.6940458,-0.8230872,-4.1763387,-1.0331229,-0.8080722,-0.9094488
29,-6.5725703,-4.902224,-1.5480157,-3.9379735,-2.7719638,2.186223,-3.6949308,-5.5851746,-3.797236,-2.9888282,2.3539875
30,1.9227455,-1.7298738,-1.3863604,-2.1089954,-1.2993071,-0.46201798,-1.1760101,-5.214759,-1.1622427,-1.363058,-0.53608793
31,-5.6709647,-4.5579357,1.7361567,-5.278138,1.9743178,-2.1133366,-1.3003836,-5.3726482,-1.9989022,-1.4966892,-1.6145486
32,-5.8014965,-4.7871785,-4.067148,-5.705148,-4.164593,-1.4691635,-2.0719833,1.9709427,-2.2279823,-2.1471014,-1.8368973
