Shared topic 2,Shared topic 3,Shared topic 6,Shared topic 7,Shared topic 10,Transcriptomics private topic 3,Transcriptomics private topic 6,Transcriptomics private topic 8,Transcriptomics private topic 9,Transcriptomics private topic 10,Proteomics private topic 2,Proteomics private topic 4,Proteomics private topic 5,Proteomics private topic 6,Proteomics private topic 7,Proteomics private topic 8
-0.3128333,-0.36124888,-0.12519792,-0.4263243,-0.5825158,-0.35113153,-0.17390318,-0.47892088,-0.31846768,-0.102372825,-0.38165808,-0.17681728,-0.2256257,-0.28565153,-0.23138009,-0.30688488
-0.25517437,-0.261407,0.040592358,-0.10821037,-0.36196917,-0.3158537,-0.16463979,-0.039634507,-0.2839233,-0.21035361,-0.005262043,-0.42189783,-0.41150373,-0.1323162,-0.30351022,-0.31266552
0.037420005,-0.40458962,-0.14523424,0.39416045,-0.21053511,-0.438371,0.07356358,-0.059572127,-0.3743073,-0.14087464,0.26473516,-0.15709446,-0.44688886,0.08355509,-0.15026568,-0.35888526
-0.15642893,-0.24790877,-0.18550551,-0.19692409,-0.08497636,-0.30607367,-0.20853078,-0.20883541,-0.24621388,-0.22496413,0.5847782,-0.16162094,-0.4045349,0.029886812,-0.2934268,-0.11568729
-0.3192394,-0.07239958,-0.20833372,-0.18000612,-0.29362622,-0.41167712,-0.15034644,-0.6325133,-0.34245715,-0.05217272,-0.09559528,-0.51758796,-0.2902716,-0.12628512,-0.40685818,-0.3869877
-0.5992656,1.6091716,-0.60268694,0.76932603,0.16521932,-0.25572404,-0.303758,-0.18155843,-0.10535912,-0.21963616,-0.25515383,-0.4639606,-0.36850965,-0.3367095,-0.5162329,-0.3415234
0.08005074,-0.61923283,0.39053965,0.1701892,0.04366763,-0.79801476,1.6049129,2.1050692,-0.94007224,0.08552145,0.1425278,-0.13330944,-0.031379208,-0.25430936,-0.24147318,0.12854752
-0.8440319,0.20717332,0.068852834,0.16668397,-0.45417377,-0.29503646,-0.2691017,-0.35316786,-0.24761376,-0.26534674,-0.831846,3.136437,-0.30975434,3.0338457,3.1596859,-0.15459774
-0.4016534,-0.386449,-0.30034244,-0.00881511,-0.83284444,-0.4236691,-0.16505818,-0.27459368,-0.34773448,-0.14541298,0.23011822,-0.4439813,-0.43185273,0.30563873,-0.31840703,-0.72759664
-0.22785309,-0.47767535,-0.13526507,0.6206679,0.49226934,3.8511214,-1.0790104,2.669531,3.6503959,-1.2078997,-0.10367524,-0.26294237,-0.20759784,-0.41691485,-0.2789153,-0.04393823
3.441412,-0.6506856,0.05377899,-0.49425417,-0.6361475,-0.2828773,-0.23257068,-0.29301873,-0.191409,-0.12960081,0.7870887,-0.65963066,-0.55614394,-0.3860658,-0.70268106,0.52718127
