,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Shared topic 11,Shared topic 12,Shared topic 13,Shared topic 14,Shared topic 15,H3K27ac private topic 1,H3K27ac private topic 2,H3K27ac private topic 3,H3K27ac private topic 4,H3K27ac private topic 5,H3K27ac private topic 6,H3K27ac private topic 8,H3K27ac private topic 9,H3K27ac private topic 10
Npbwr1,-1.5848503,-0.13688777,-0.76080865,0.6366483,-0.21759707,-3.6508236,-0.31894603,-0.21754737,-0.090209365,-2.5407534,0.39068836,-0.14995217,-1.6190633,-1.9951597,-4.022167,-0.23988304,-0.25623003,0.8854773,0.31033415,-0.3117515,-0.29478225,-0.28958878,-0.3953898,-1.7658323
Rrs1,0.63134974,-0.06416296,0.4174608,-1.988065,-1.4904993,0.60123795,-1.0658975,-0.16976047,-1.2570266,-0.1206638,0.041392,0.20002973,0.37642372,0.5254407,0.5156529,-0.20197463,-0.17992038,0.3773318,0.12692785,-1.8528026,-1.628198,-0.04153946,-0.23976979,-0.4897116
Snhg6,-0.039564908,-0.089416355,-2.2655168,-0.34838998,-0.21434847,-3.5623274,-0.1043204,-0.12884194,-0.20328376,-3.754277,-0.71900606,-0.01940874,-0.39842975,-0.17758882,0.17853591,-0.5220469,-0.11204737,1.3093716,-1.7956735,-0.058584012,-0.32266343,-0.17468974,-0.12938018,-0.09743692
Snord87,0.117748246,0.05015239,-1.4235729,-0.40733182,-0.21202183,-3.424731,-0.06618463,-0.21592382,-0.23560423,-3.9116886,-0.5119698,-0.11802737,-0.09706706,-0.15216249,0.26649195,-0.4993786,-0.089631066,1.2375451,-1.8244656,-0.02724158,-0.2515918,-0.20119023,-0.13195439,0.08539796
Tcf24,-0.589473,0.026058316,0.1962009,0.3927369,0.12287593,0.22885346,-0.17839843,-0.6235313,-0.89075804,-1.9212096,-2.9287226,-0.35839173,-0.41387126,0.04052891,-0.5091962,-0.11953699,-0.20093432,0.57888657,-1.8481334,-0.5711492,-0.38085657,-0.05390656,-0.24547498,-0.56808376
Msc,-3.7451172,0.21752483,-0.02334565,-0.09442826,-0.49652806,0.0018367767,-0.1339921,1.0827395,-0.50662404,-0.09573269,-0.91330457,-0.61851394,-0.5564399,-2.253894,-4.1897235,0.24433321,-0.118510276,0.04291132,-0.86202353,-0.055738762,-0.26184285,-0.18002531,-0.66327107,-0.470183
6720483E21Rik,2.0924032,0.1809501,-0.5847213,-0.07098519,0.28723508,-1.1973323,-1.1308596,-0.6995064,0.20794433,1.6806552,-0.39981994,-0.22495925,-4.25018,-0.97511965,-1.4151903,-0.9736168,-0.0557438,-2.647,-1.6135229,0.01553756,0.6932828,0.09601337,-0.30792773,-1.0133383
Khdc1c,-4.432813,-3.83061,-2.055546,-4.415944,-3.4025416,-4.167496,-3.4619539,0.23209012,-4.1881022,1.0046716,0.9876127,-0.31181014,-0.04688859,-2.2714279,-2.5252686,-3.2804737,-3.605734,-3.1964295,-3.9581974,-0.6172496,-0.15795875,-1.6185744,-4.6470547,-2.8107157
Khdc1b,-1.4496931,-4.4301047,0.2189002,-3.9536793,-1.439118,-0.12370932,-3.7456448,-0.41198015,-2.269221,0.011243582,0.022017479,0.65308595,-0.08617246,-0.77906704,-3.3511136,-1.3910226,-3.969751,-3.7272718,-3.5964231,0.043290854,-1.0133203,-3.7869875,-4.456799,-2.3015504
Mir6342,-0.63887185,-0.14587861,-0.27300104,-3.8549955,0.66369367,-4.084074,0.7418821,-0.80458224,0.026642919,0.114483595,-2.2443237,-3.2476192,-0.469152,-3.0411031,-0.8465383,-1.7228189,-1.5421131,-2.4001298,-2.8838875,-3.1475291,0.12727088,-2.508128,-0.7955873,-2.9117234
Gm4850,-1.1418011,-3.1088908,-0.044697046,0.48721755,-0.051790178,-3.8143985,-0.8467035,-1.9766977,0.11833954,0.9897829,-1.1116042,-3.0345411,-4.0925007,-3.330249,-2.6398237,-2.805468,-0.87488866,0.67774236,-0.17943817,-2.3662434,-0.14976883,-2.2695532,-3.7085567,-0.19428575
1700001G17Rik,0.5062218,0.2512104,0.71633786,0.23708087,-0.02825047,0.53861487,-1.3329358,-2.6539102,0.0015226454,0.0004415512,-1.5009865,-3.182365,0.12415019,0.8685925,1.3109713,-0.94793534,0.110298276,0.81077754,-0.50674367,-0.08815089,-0.540461,-0.4057468,-0.174955,-2.1313028
Gm15455,0.059186697,-3.7472696,-0.71161866,1.1526623,-0.24428546,1.0887976,-3.501192,-4.2301006,-1.1454986,-3.6370225,-2.036071,-2.2711868,-2.5684817,0.4055115,-0.27623868,-0.951,-1.0675098,-2.9937363,0.5636054,-3.5149808,-2.842595,-1.0775988,-1.569096,-3.573085
Mir5103,0.352666,-0.6764873,-0.09952393,-3.9096286,-0.41546023,-0.07903762,-0.0935856,-0.4786969,-0.1317598,-1.2270159,0.4675938,0.37132496,0.2559377,-0.27200043,-0.48728472,-0.122711636,-0.07984704,-0.058060404,-0.15409377,-0.058990464,-0.40547246,-0.22129646,-0.06649751,-0.3044947
Ccdc115,0.1267407,-0.12766846,-1.0206363,0.0710772,0.7182499,0.083235145,-0.19152422,-0.55327594,-0.12805149,-3.7619739,-1.1663022,0.5522665,0.14868131,0.22044772,-0.21718302,-0.4713466,-0.24000564,-3.2072363,0.72294325,-0.083697654,0.34300506,-0.5270327,-0.19891305,-1.6048094
Amer3,1.4046218,-0.7251872,-1.4293427,1.3954352,1.648705,0.7089766,-2.6686153,-1.1094072,1.725399,1.7048445,-3.3986726,-3.5829184,-3.726143,-1.628797,-4.3666296,-0.30367422,-0.66952735,-3.3013363,-0.7407895,-0.6429486,-0.14181471,-1.4041287,-2.7617936,-0.45632368
Mir6898,-2.9332516,-0.58786905,-0.8813062,-3.2595787,-4.051689,-1.4967908,-0.63794494,0.166852,-0.7994508,-3.9865022,-0.9669868,0.79247165,-3.421029,0.12991631,-0.45689034,-0.2598806,-0.33449376,-2.5590198,-0.2608131,-0.3720839,-0.3862028,-1.0482178,-0.2295773,-0.27892303
Cox5b,-2.9290705,-0.5250391,-0.33145344,-3.9858246,0.5836228,0.433464,-0.052187145,-1.1290306,0.37673122,-0.26559606,0.8054296,-2.8360076,-0.52406687,-0.040005475,0.2700822,-0.41347682,-0.18660825,0.88639843,-0.5237019,-0.88251936,-0.600695,-0.014838174,-0.11236097,-0.14975408
Rpl31,-0.8266902,-0.5647286,-0.011934884,0.5466235,-0.46444994,-1.2952867,-0.9642266,-0.10735281,-0.07415797,-0.4426229,-0.52344286,0.66726315,-0.07114512,-0.45541835,0.086314484,-0.1705889,-0.08665593,1.2877461,-1.5558561,-0.077632874,-0.5696743,-0.019434012,-0.10317017,-0.32066673
Snord89,-4.056346,-0.5618864,-3.138865,-3.8491151,-4.399489,0.113630414,-3.4465292,-0.76993966,-4.6099367,0.3153479,-0.3562532,0.9053978,0.618258,0.2486949,-4.0218863,-2.701147,-1.0251021,-2.7361603,-3.6175468,-0.8838277,-2.7821913,-2.6289659,-0.57298124,0.63524413
Pou3f3,1.8171874,0.119164914,-4.261894,1.5792153,1.4236685,-3.412908,0.4201932,-0.3800123,1.3445792,1.6891185,-4.412703,-0.49570644,-3.4154835,-2.7268336,-3.6213508,-0.58228976,-0.31770897,-0.17897862,0.62343866,-0.21017878,-0.61720437,-0.6834229,-0.15998636,-0.069484875
