,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Shared topic 11,Shared topic 12,Shared topic 13,Shared topic 14,Shared topic 15,H3K27me3 private topic 1,H3K27me3 private topic 2,H3K27me3 private topic 3,H3K27me3 private topic 4,H3K27me3 private topic 5,H3K27me3 private topic 9,H3K27me3 private topic 10
Snhg6,-3.232616,0.20453364,-0.2686322,0.21327949,0.01757431,-2.4679587,-0.22967206,-0.52269626,-0.023276359,0.13970393,-1.7037753,0.455319,-0.49352178,-3.0097125,-0.062048227,-2.5343893,-0.3987999,-0.3883605,-2.1454039,-0.29623845,-1.0599402,-0.15633184
Snord87,-0.26356742,0.215282,-0.41868556,0.2553441,0.12888572,-0.7277037,-0.23691246,-0.09967929,-0.09968904,-0.41351986,-0.8978372,0.32879066,0.037200123,-0.52933824,-0.008893937,-2.5176063,-0.26366487,-0.49104017,-2.7374747,-0.13499269,-0.33246645,-0.16975084
Rdh10,2.0293586,-0.26217747,-2.667389,2.04298,0.030482352,-3.15814,-0.20040725,-3.1376624,1.5088556,2.0723367,-2.805255,-3.6849587,-0.46314,-0.4605282,-1.8296132,0.06434661,-0.7314315,-1.5076226,-1.6239339,-0.4743514,-1.924201,-0.76241785
Rpl7,1.5847309,0.5009653,-0.5728879,1.5330216,-0.19535306,-1.6073015,-0.028539196,-2.1357865,1.1316196,2.0304754,-1.4164646,-1.2646418,-0.3730083,-0.39276868,-1.1153255,0.36758423,-0.19853406,-1.0527395,-0.9052378,-0.45494255,-0.61366,-0.798977
6720483E21Rik,-0.40574777,-0.5713804,-0.020568475,-1.2512273,0.18058202,0.75488883,-2.3562417,0.51446474,0.27761632,-0.57600033,-0.49923033,-1.3697256,-1.1537123,0.22021383,0.037474215,-0.2316374,-0.122013174,-0.772791,0.14103693,-1.1227547,-1.5177033,-0.8612954
Pih1d3,2.1479921,-3.8539157,-2.762708,-0.09873587,-0.92844194,0.14861345,1.5188265,-3.6462708,-1.3774,1.7469392,-0.86978173,-3.730842,-3.187722,-3.899514,-3.6691847,-2.8214746,-2.2054505,1.4060152,-0.85229635,-2.6129863,-1.7631346,-2.452089
Gm15455,-3.8220282,-0.49109286,-0.84486055,0.4961599,-1.6482997,-1.9425828,-3.1369135,-1.1589627,-1.4184958,-0.09399682,0.2587285,0.7196257,0.47749972,-3.1274617,-1.3346336,-1.8609384,-1.0791757,-2.8687885,0.2854463,-0.26512063,-0.8537826,-0.76058936
Mir5103,0.009905145,-0.40305406,-0.21796718,-0.34543398,-0.64317477,0.41423625,-0.43771082,-0.6462661,0.22663853,1.086143,-0.9588366,0.048494875,-0.156117,-0.18829986,-0.3474242,-1.2370145,-0.23828442,-0.6584061,-0.25179902,-0.2987188,-0.067079484,-0.42813367
Prss39,-0.4682588,-0.7981134,-1.1190562,-0.32925677,-0.1459758,0.61209553,-0.78549147,-0.8330485,-0.95805043,-0.08810112,0.68157154,-1.6183048,-1.14094,-0.0344764,-0.7503545,0.3952436,-0.16754246,-0.8797143,-0.17034853,-0.18195362,-1.257556,-1.4145472
Sema4c,0.36189884,-3.572165,-0.51180756,-1.462371,-0.5648358,-1.1851588,-1.3549066,0.10717194,-1.2993652,-1.2015976,0.39979333,0.6888121,1.2770919,1.5972557,1.6613461,-2.820444,0.04547158,-1.3432615,-2.1279607,-0.6244551,0.5404104,0.14388025
Cox5b,-0.28823623,-0.45731813,-1.7391356,-3.513929,0.07622677,-3.555256,-1.5130739,-0.3883767,-0.40227956,0.20073009,0.07322568,0.9981061,0.69337416,-1.6910355,-0.042955637,-1.191652,-0.35029697,-1.9858143,-1.1321042,-2.1713834,-0.15489218,-0.6878
4930594C11Rik,0.83344984,-2.4679475,0.08092551,1.631063,0.32273847,0.02195242,-2.4526896,-0.17825305,0.821754,1.6295022,-0.048642315,-0.6009507,-0.7706694,-0.4862219,-1.0152972,0.25703788,-0.16882212,-1.8783234,0.15703446,-0.11770488,-0.7395753,-1.0126268
Lipt1,-0.17364913,0.7740432,0.2879175,0.021388113,-0.059903383,-2.8539543,-0.08839339,0.79500234,-0.0016377866,-3.6612809,-0.19211265,0.71357095,0.230335,-1.1445315,-1.4097853,0.28984642,-1.2753041,-3.1718912,0.12611973,-2.0250323,-2.6996834,0.1470303
Mir6349,0.6716478,-0.031997807,-0.026372306,0.97867656,0.32440838,-0.39299923,-0.13668582,0.75677,0.6526037,-1.0934093,0.22606882,-0.5323606,-1.5459149,-0.13727751,-0.8733071,0.4601215,-0.109442644,-0.8777579,0.020327173,-0.5913787,-0.1569825,0.90714943
Pou3f3,-1.2491314,-0.054156993,0.861793,-1.2920011,-2.5639856,0.23044842,0.54305744,0.9168862,-4.285976,-2.1468265,-0.1817544,-0.17268805,-0.3122601,0.18367715,-0.078612395,0.054694474,-0.027544899,0.5789825,-0.0018735956,0.30845556,-0.1630569,0.46359268
2900092D14Rik,-1.3317814,0.23601809,0.7687999,-1.0659546,-1.8368372,0.2292551,0.5359159,0.8880744,-1.5154117,-1.4725422,-0.13505775,-0.30386347,-0.36591855,0.062980205,-0.15951338,0.111993745,-0.051816404,0.56884325,0.07306751,0.26750278,-0.15675734,0.44202816
Hspe1,-0.11162436,-0.57292795,0.21820384,-1.9382023,-0.3099346,-1.550596,-2.7299392,-1.31552,-0.6932913,0.52764356,-0.33687848,0.9565805,0.15522379,-0.50175387,-0.39655492,-1.1382217,-1.2993542,-0.44458005,-0.3174291,0.4173107,-0.2964347,-1.309758
Gm20257,-3.4351923,-1.1418548,0.00274539,-0.14765458,-0.38972184,-0.28711772,-0.5427534,-0.5396482,-0.06926972,-3.5028205,-0.7626743,-2.7762547,-1.0756357,-0.36166605,-2.1629376,0.70908344,-0.38834113,-0.44588995,-0.5862111,-0.3708619,-0.36478537,-0.47213683
Fzd7,-0.09482671,-3.109311,-1.2805105,0.7007237,1.0773997,-0.47775775,1.0058235,-0.69894326,1.2606128,0.76139337,0.78660977,0.15521762,-0.20610362,-0.6283684,-0.8258262,0.23619461,-0.239585,1.3356379,-0.26990536,-1.3376335,-0.41191426,-0.48752517
Snora41,-0.12940934,-0.62803495,-2.5257323,1.0954492,-3.4903982,-3.1475801,0.49618334,0.16385686,0.9962925,-2.7519083,-0.2237374,-2.9161208,0.21296388,-0.1636999,-0.45664713,-3.0608103,-0.35988286,-2.008937,-3.2494183,-0.064872116,0.4212731,0.9811164
Fzd5,0.7091437,0.8195767,0.9822409,1.2166541,0.41942385,-0.13763809,0.32619172,0.13207269,1.038558,0.8871804,-3.9729445,-1.3227497,-1.531845,-1.4719946,-4.3960853,-0.29229125,-0.14708139,-0.6693825,0.069003314,0.26789102,-0.1403795,0.38481027
