,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Shared topic 11,Shared topic 12,Shared topic 13,Shared topic 14,Shared topic 15,H3K27ac private topic 1,H3K27ac private topic 2,H3K27ac private topic 3,H3K27ac private topic 4,H3K27ac private topic 5,H3K27ac private topic 6,H3K27ac private topic 8,H3K27ac private topic 9,H3K27ac private topic 10,H3K27me3 private topic 1,H3K27me3 private topic 2,H3K27me3 private topic 3,H3K27me3 private topic 4,H3K27me3 private topic 5,H3K27me3 private topic 9,H3K27me3 private topic 10
0,-0.52682775,-0.13989027,-0.30149972,-0.31578135,-0.18692987,-0.6904673,0.34342617,-0.22822347,-0.3005221,-0.24334319,2.1202383,-0.036062453,0.10724276,1.7948267,0.24903715,0.44592237,2.1880531,-0.06308842,-0.115709886,1.0077637,-0.42342907,0.60218173,2.5757763,1.0291784,-0.17745991,-0.22985055,-1.0089526,-0.37279642,-0.3570142,1.4591092,-0.6682834
1,-0.2071959,-0.14913282,0.46260118,-0.43940446,-0.4642424,-0.092202246,-0.19926289,0.026383355,-0.377451,-0.32204244,1.2120543,-0.2928184,0.23057935,0.43387175,-0.29445434,0.46260273,2.1552997,0.08031185,-0.12220362,0.54340863,-0.6886491,1.24918,1.8498049,1.2543032,0.3606422,1.1689398,-0.9732328,0.08698651,0.24994917,2.9076877,-0.39929292
2,-0.7130382,-0.58949554,-0.064724125,-1.1143545,-0.29469478,-0.32221463,-0.5466989,-0.8659213,-0.65956,-0.65298474,0.7168833,-0.89681447,0.8419677,0.49284264,2.1388962,0.6288126,0.5418581,-0.62402755,-0.8610549,-0.1555521,-0.74016005,0.3739134,0.44956163,-0.2411939,-0.22520982,-0.14704753,-0.48658708,-0.15670724,-0.1797479,0.48019147,-0.29110986
3,-0.61491024,-0.43559963,-0.11803434,-0.56903064,-0.7293094,-0.57358193,-0.4789772,-0.28839308,-0.43506837,-0.32230765,0.40683228,-0.20594126,1.480443,1.1063461,1.1460054,1.0574604,1.0393872,-0.367368,-0.42498124,0.4625363,-0.44410253,-0.1459313,0.93049467,0.0151277855,-0.23772062,-0.21061206,-0.8568258,-0.24891667,-0.27193612,1.0577158,-0.53720415
4,-0.6490712,-0.58669233,-0.05236139,-1.0262852,-0.56862617,-0.6215608,-0.52464855,-0.76172036,-0.56570387,-0.556759,0.043943703,-0.33807245,0.85309625,1.9061375,1.7396839,-0.51162744,-0.3405501,-0.68931264,-0.78905255,-0.44400474,-0.7507285,-0.51801425,-0.12943923,-0.015923882,-0.35922462,-0.5313549,-0.69137645,-0.37005478,-0.40915325,0.079671025,-0.46701774
5,-0.23055936,1.565953,0.10451078,-0.18263768,0.1751744,0.22883718,-0.81434953,-0.40482634,-0.24878585,-0.3581605,0.090100184,0.024289317,0.49610144,-0.71087146,-0.3394978,0.74893904,2.0898652,0.14824915,0.3024499,0.9686031,-0.41607967,1.2390975,1.9570298,0.4733216,-0.07696224,0.30718642,-1.0795388,1.229563,-0.51424986,2.84498,-0.7570342
6,-0.5381114,-0.4226619,-0.20296635,-1.0268016,-0.17138667,-0.41810533,-0.730809,-0.5602412,-0.51684976,-0.71529657,0.62712246,0.12436499,-0.9186577,1.2194403,2.637142,-0.4817327,-0.31866795,-0.72800636,-0.8116704,-0.4297251,-0.77531606,-0.46025762,-0.17081484,0.0026757098,-0.36544794,-0.5448501,-0.67229134,-0.33818573,-0.42013744,-0.039622094,-0.46821117
7,-0.0058438145,0.18501368,-0.5466071,0.48026636,1.8463218,-0.0066160187,-0.39372218,-0.25940275,0.7999591,0.020231742,-0.5788881,-0.19129717,-0.2284885,-0.24665901,-0.3017039,0.10050341,0.8654865,0.2904302,0.93814194,1.24514,0.0021020612,-0.26788914,0.30762956,0.02614385,0.30141038,-0.039497606,-0.46909198,0.19220899,-0.37855202,0.9010639,-0.69746065
8,-0.44380465,-0.106396265,0.27008075,-0.13429014,0.8562791,-0.114905745,2.0630455,-0.5537882,-0.097366944,-0.06863806,0.21764523,0.21196988,0.21648866,0.4714229,-0.27081323,-0.4088821,0.6597815,-0.14358538,-0.28011745,0.56122303,0.4226898,-0.5799041,0.6121892,1.5275831,0.2774467,1.8885052,-0.3564006,-0.34654295,-0.32160476,1.7020242,0.0008173555
9,-0.22462548,-0.5166881,-0.23807131,-0.6431234,0.038198024,-0.09635985,1.613001,-0.21243605,-0.087938905,-0.078626096,-0.09792635,0.42402202,0.2948399,-0.328,-0.18168192,0.03943885,1.5443798,-0.08967906,-0.25115782,1.383664,0.30489728,-0.23242679,1.4979775,1.9199271,0.38734588,2.0634565,-0.43452746,-0.52818817,-0.49562943,2.1607406,-0.2704389
10,-0.20001417,2.1122847,0.15039945,-0.16845709,-0.18350132,-0.36160117,-0.53381515,-0.33051994,-0.20116934,-0.12244474,0.19552363,-1.0001684,-0.35078177,-0.41275716,-0.4093075,0.6327467,1.2928691,-0.0782619,0.15918183,0.95775294,-0.26656905,0.7961344,0.4168026,0.41799346,-0.17944278,0.11241851,-1.2824758,1.0018021,-0.8175359,3.048589,-0.880181
11,1.7189918,-0.37466574,-0.41208866,1.0123416,0.90148205,-0.5105611,-0.30636817,-0.47145516,0.95857275,1.3228003,-0.679433,-0.79414487,-0.73551834,-0.456034,-0.5185448,-0.3988052,0.14294949,0.16557369,0.39410952,-0.011425117,-0.16024676,-0.3500762,-0.08215139,-0.19399126,-1.1956686,-1.469862,-1.0851202,-1.299705,-1.2057384,-1.0558808,-1.0560328
12,-0.41028115,-0.021356933,0.23498511,-0.39422026,-0.07686175,0.2360855,0.11422902,-0.13348469,-0.34592074,-0.12898022,0.95503473,0.04905417,0.89492893,-0.45114744,-0.22293864,2.2047791,1.7137202,0.21206343,-0.33687672,0.38372436,-0.6589554,0.76624626,0.12221356,0.26206043,0.78888696,0.09401703,-0.7421703,0.42431572,0.20979597,0.6634324,-0.43721515
13,-0.5922167,0.0037239715,0.056130093,-0.5370633,-0.26306903,-0.25942782,0.5458736,0.0023028105,-0.37311715,-0.2723608,1.646087,-0.01608622,-0.4867208,1.1202738,0.2786066,-0.4934985,1.3478973,-0.1708384,-0.75755495,0.13470364,-0.76940954,2.0892773,1.956175,0.75272924,0.44149244,1.3669213,-0.31780225,-0.0037983353,0.29149258,1.118162,1.9050115
