,Dataset,method,ARI,MI,NMI,AMI,HOM,VME,Average,jaccard_RNA,jaccard_ADT,moranI
0,4_Human_Lymph_Node,cosmos,0.16985359874200837,0.6301850375361453,0.32455040035546895,0.32029047012876793,0.37355278342272186,0.32455040035546895,0.3571637817567636,0.03863274957704122,0.0747896037457699,0.8059146646695214
1,4_Human_Lymph_Node,cosmos,0.144240333002553,0.5680194403022277,0.28901875313923275,0.284588300075963,0.33670307976955666,0.2890187531392328,0.3185981099047943,0.037928739422402664,0.0742657721986599,0.8030541821938497
2,4_Human_Lymph_Node,cosmos,0.1413665904233881,0.558763079664175,0.2865454143779376,0.2820651076457821,0.3312162162695473,0.2865454143779377,0.3144169704597946,0.035496001377210956,0.07069140025640262,0.6909278150611456
3,4_Human_Lymph_Node,cosmos,0.15207396835377546,0.6333801239229497,0.32274136413226556,0.3185138923679082,0.3754467246335974,0.3227413641322656,0.3541495729237936,0.03797069256077277,0.07395999349387823,0.7618818243881875
4,4_Human_Lymph_Node,cosmos,0.15647819213378036,0.6351894447739687,0.3252276767451909,0.3209964909006211,0.37651923000859866,0.3252276767451908,0.3566064518845584,0.03829121843808226,0.07359778686618275,0.7573708847175328
5,4_Human_Lymph_Node,cosmos,0.16086030681304556,0.6073061872642982,0.3138702997303198,0.30952792231009274,0.35999096000340597,0.3138702997303199,0.3442376626419137,0.037560197630610345,0.07283687431630302,0.7898453022092766
6,4_Human_Lymph_Node,cosmos,0.1540183171369916,0.6220217241060171,0.3202979275468722,0.31601152130750276,0.3687138420449657,0.32029792754687225,0.35022687661487023,0.03795633342604631,0.07485982079291978,0.8002550262166037
7,4_Human_Lymph_Node,cosmos,0.12701535522653976,0.49580318223486997,0.2570909553060995,0.252382835557545,0.29389567781202,0.25709095530609954,0.2805464935738623,0.038151763217660596,0.07371310264235546,0.7657311310308389
8,4_Human_Lymph_Node,cosmos,0.1643373244836832,0.6178643119320114,0.3182997602081664,0.31399997345785985,0.3662494660332673,0.31829976020816636,0.3498417660538591,0.03790794356525144,0.07399220964449532,0.7927836005613382
9,4_Human_Lymph_Node,cosmos,0.1571368007140607,0.583285307442798,0.2967681304077771,0.292385703104858,0.34575217935468355,0.2967681304077771,0.32868270857199244,0.03846869125616026,0.07524544452456952,0.8025822510013978
10,5_Mouse_Brain,cosmos,0.32009085967747875,1.285102989535025,0.5556692729678481,0.5544901949861143,0.6431842731487585,0.5556692729678481,0.6523678105471787,0.01376841187445825,0.01376841187445825,0.8642809109344605
11,5_Mouse_Brain,cosmos,0.3249504625081031,1.2566738615952686,0.5532167401144751,0.5520060682281273,0.6289557108163332,0.5532167401144752,0.6448365972294637,0.013681021367509634,0.013681021367509634,0.8448151061403343
